time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
1432,4693.927321582224,4266.657198309994,4245.280870523961,4628.484862538024,5089.128376752065,4917.892256065809,4880.258352670369,4655.860812424287,4111.430975260833,4167.281949218495,4187.741384582129,4027.2774222962275,4130.6453905710705,4248.475490613438
1433,4686.744993919565,4259.371155988896,4238.640767053987,4620.309714656755,5081.898710421353,4910.170073937019,4873.861926188088,4649.216107756863,4104.643072968138,4161.499417319454,4181.232909706693,4020.304641224805,4124.191018036717,4241.398633932905
1434,4679.422624672018,4252.293599945482,4232.271313116208,4612.782712399226,5074.694521052767,4903.067486509212,4866.89575266567,4642.29525803059,4097.323154046907,4155.074906394741,4174.392065976333,4014.1250345663807,4118.688851225548,4234.932850107089
1435,4672.670465998568,4246.316928504798,4225.834391411526,4606.188509155966,5067.292825736191,4896.389830480863,4859.621479032793,4635.029827015065,4090.919415825251,4148.5214682300875,4167.6665595198265,4007.8895706137873,4112.974208869671,4228.498556548643
1436,4665.810240858393,4239.716174761297,4218.8690051438225,4599.8323010993045,5059.769284649392,4888.929496437439,4852.300406165331,4628.352530587875,4084.8173313847806,4142.264400474404,4160.809709660018,4001.1240020734094,4106.149699531626,4221.560615322734
1437,4659.175604093466,4232.841331764246,4212.014491653033,4592.6827781500715,5053.091477300328,4880.912297716769,4844.513231407642,4622.076349184318,4078.7192823390046,4135.770118699401,4154.256784401116,3993.9205187123157,4099.208977415417,4214.755264400931
1438,4651.777535497338,4225.60153326459,4204.933312852384,4583.994900759388,5045.8749742493155,4872.886253746344,4837.31442117771,4615.481614227476,4071.9585049965913,4127.3619233561785,4146.850344889154,3986.0631115120864,4091.440613251884,4207.953868321684
1439,4644.363473836577,4218.463695969433,4198.394646240113,4576.104685560096,5038.50005521871,4865.490843763031,4830.524221873817,4608.522501680087,4064.923697443978,4120.942975761432,4140.259026151269,3979.6090687783626,4085.187512052404,4201.56408791364
1440,4637.7246411009555,4212.196198119838,4192.228073648254,4569.258698465416,5031.755419097633,4858.871994140237,4823.8206963314215,4601.626683153548,4057.8992398872356,4115.8253656052775,4134.155908753258,3974.138768004631,4080.3400953809437,4195.244117930184
1441,4631.24585786044,4205.897971926982,4185.647730473452,4563.207335639777,5024.724770185163,4852.180510458391,4816.78972024015,4595.476824804335,4052.3201179171465,4110.323291111744,4127.761471432645,3968.040704701898,4074.650631901619,4188.8147824659
1442,4624.232494995676,4199.5486123675455,4178.872288654011,4557.003383745676,5017.557165490243,4844.471511958181,4809.36883842816,4589.060062417917,4046.6042588266814,4103.063633511754,4121.216987033973,3961.2048861040676,4068.0963408039433,4182.014272988781
1443,4617.447379168309,4193.071597235045,4172.410836885746,4549.941211862581,5010.459037272752,4836.816472994771,4802.145695194072,4582.733735571735,4040.0322352108833,4096.325581681753,4114.36579373208,3953.964082338907,4061.093149287006,4175.3407489316805
1444,4610.439211943061,4185.947041773235,4165.652759977376,4542.086732183946,5003.643695146559,4829.334764502325,4795.54902762384,4576.299630003286,4033.5202471391217,4089.4574041900423,4107.725459334448,3947.447283315066,4054.7406188040864,4168.608460783382
1445,4603.4971133580975,4179.576733645069,4159.446831152815,4534.679134032596,4997.181487167655,4822.628481356495,4788.704567595839,4569.97302088502,4026.737041345487,4083.3919927071715,4101.23338701544,3940.8304676344737,4049.148741904851,4162.253389012004
1446,4596.913564177938,4173.231134928191,4152.801682180564,4527.757876452954,4990.143214879634,4816.051019116644,4781.533846027347,4562.4723942029605,4019.9307957514325,4078.51198864946,4094.914301198197,3934.6384308194843,4043.559883915741,4156.0963908404165
1447,4590.250734528146,4166.727433799398,4146.032856740644,4521.610911703431,4982.8805639991615,4808.966076189257,4774.671423249447,4555.925967044173,4014.6280556580305,4072.275829134052,4088.408335055296,3928.625801864648,4037.644590011803,4149.684150729056
1448,4583.2661495118955,4160.24067227317,4139.6695061098935,4515.307837259969,4975.529378520685,4801.076609755181,4767.583796650511,4549.655011017362,4008.8500951964206,4065.171569022287,4082.087920382207,3921.7962168755726,4031.068830604556,4143.10238386315
1449,4575.978133979347,4153.562615988423,4133.05063618881,4507.7711847403,4968.487090959763,4792.895985746212,4760.105793787281,4543.366952302906,4002.253036890579,4057.8151643217216,4074.9413757518478,3915.028522647364,4024.2604336381314,4136.241665797601
1450,4568.839439973469,4146.57374348662,4126.366522290014,4499.717223924701,4961.9732591887005,4785.537196708438,4752.957699745392,4536.907315727772,3995.458364590666,4051.2732288637,4068.526970176554,3908.2807696396126,4017.8727596757967,4129.73031379855
1451,4561.971100275997,4140.0803474226905,4120.041428553822,4492.296325353931,4955.292614601991,4779.0578811769965,4746.112789723759,4529.753190785774,3987.975694740196,4045.4587136199407,4062.1283372193657,3901.761814367636,4012.214922410136,4122.96013069153
1452,4555.924058880302,4133.793402822866,4113.563727939503,4485.599569101805,4947.832455579339,4772.683176398986,4739.258956569607,4523.406778516434,3981.8250984961933,4039.275112590262,4055.0745400146593,3895.622600712164,4006.3054541340634,4116.8939708533535
1453,4549.187847567684,4127.365356101039,4107.073120405223,4479.897603160596,4940.697356879281,4765.381738547586,4732.6818364021365,4517.031422100206,3976.56271724293,4034.105112158945,4048.830144709807,3889.7307954618373,4000.407908058011,4110.62578298554
1454,4542.200517604564,4121.191350329812,4100.780504227012,4473.185842925168,4933.707482112719,4757.330881368672,4725.519553758885,4510.684204913097,3970.383124474513,4027.5449770621617,4042.429087123249,3883.3635200135313,3994.1374423209404,4104.036430998025
1455,4534.995358386897,4114.39763881948,4094.044348117831,4466.0877532991635,4927.233092056766,4749.759644742093,4718.18678455974,4504.449419388879,3964.20746139397,4020.4097231836186,4036.0836894426093,3876.821597377531,3987.755523152104,4097.477793592794
1456,4527.735140357806,4107.647530344183,4087.2767507542153,4458.213192587021,4920.712398721408,4742.907454223368,4711.317648155963,4497.895097747389,3957.3662115888565,4013.5374193640996,4029.2737434121964,3869.886316400893,3981.4884707286924,4090.7735469057657
1457,4521.52940727502,4101.215126232068,4081.279094455114,4450.726531892061,4913.917412006828,4736.3010072665875,4704.360521602989,4491.288259692322,3950.7200403935462,4007.9877154612177,4022.8602762733094,3863.0974105608097,3976.008337676138,4084.615666052325
1458,4515.108631817136,4094.7337461569846,4074.8919704977066,4444.5769193188635,4906.516148324814,4729.709003884898,4697.396522547113,4484.448042595642,3945.1852317079997,4002.017833596734,4016.3479476169277,3856.851738774421,3970.1666215845285,4078.494327416283
1459,4508.523198889574,4088.906680579311,4068.6697988079104,4439.124678269752,4899.465600040193,4722.34642592053,4690.888352586268,4478.562254965704,3939.7275708349744,3996.6003914869743,4010.6779544096207,3851.810442720665,3964.354082862513,4072.070284419237
1460,4501.624964677226,4082.4545592995205,4061.6826350702354,4431.985079358072,4892.440012326079,4714.330352060826,4683.620340798499,4472.044950193875,3933.0322419631143,3990.0566873199796,4003.8751411030216,3845.1986475606122,3957.6369015280393,4065.243759572328
1461,4494.580304695789,4075.54684951278,4055.152351163973,4424.271495887053,4885.961242955633,4707.167410454813,4676.537640423663,4465.511238357935,3926.504991863798,3982.7364153935105,3997.4746671246635,3838.0961738031137,3951.2057709402084,4058.794139692933
1462,4487.651750211427,4069.0794266795774,4048.9086883040613,4416.495378037599,4879.315100014096,4700.393990197073,4669.46245075692,4459.161327990695,3919.803440722697,3975.9001792706063,3990.9204370114885,3830.9981010682336,3945.4196931184847,4052.3273714944867
1463,4481.049106283061,4062.421477781606,4042.6967465964085,4409.644501783717,4872.306398931248,4693.687618801215,4662.6670775988805,4452.309931697906,3913.008205819036,3970.9689103784426,3983.829750598035,3824.5819859212625,3939.8201513453364,4045.904277936093
1464,4474.36561463405,4055.9500820194635,4036.272217901617,4403.396408566729,4864.799087676391,4686.672067193994,4656.281544395907,4446.212618030687,3907.3649323396967,3965.091814747427,3977.370076272833,3818.7758840968077,3933.6218311576645,4039.8183745080637
