time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
63,8192.129819660717,8739.74951677263,21040.182602139485,57995.3839084188,57493.66693074239,27607.515882503703,15897.278483923426,19508.98173281235,37060.34975627439,13467.10621199583,25917.936849890473,8781.168638482299,14550.319128080695,11685.054443276369
64,8196.18527453006,8744.0910873068,21040.9780154408,58044.37967833504,57532.886953792025,27620.715150719596,15909.290752378094,19509.865401861527,37064.346125404714,13466.49593217847,25927.189522709476,8779.932993248567,14553.04032997374,11690.857297701894
65,8200.239117585059,8748.424096765082,21041.76728478089,58093.33867353345,57572.08149777242,27633.895016714876,15921.297761990687,19510.74614727575,37068.335373942726,13465.88384753067,25936.422139323848,8778.70694208896,14555.767307939288,11696.669516634676
66,8204.291323158068,8752.748522187052,21042.550392053978,58142.26063667548,57611.25042458997,27647.055411741087,15933.29946218664,19511.62390243283,37072.31743096253,13465.26994777613,25945.63464193223,8777.490474260663,14558.500034865478,11702.491100494544
67,8208.3418656027,8757.064340660245,21043.327319194887,58191.14531041568,57650.39359630006,27660.196267165302,15945.295802461595,19512.498600807376,37076.292225677134,13464.654222655447,25954.8269728308,8776.283578950826,14561.238483575631,11708.32204960877
68,8212.39071929405,8761.371529320457,21044.0980481795,58239.99243740425,57689.510875108055,27673.3175144707,15957.286732381914,19513.3701759719,37080.25968743908,13464.036661926155,25963.999074413725,8775.086245276701,14563.98262682847,11714.162364212005
69,8216.437858628922,8765.670065351987,21044.86256102517,58288.801760288596,57728.60212337046,27686.41908525736,15969.272201585132,19514.23856159776,37084.219745741524,13463.41725536292,25973.15088917388,8773.898462285708,14566.732437318398,11720.012044446195
70,8220.483258026043,8769.959925987947,21045.620839791092,58337.57302171564,57767.66720359602,27699.50091124278,15981.252159780468,19515.103691456174,37088.172330218775,13462.795992757548,25982.28235970325,8772.720218955514,14569.487887675683,11725.871090360528
71,8224.526891926278,8774.241088510496,21046.37286657883,58386.30596433381,57806.70597844712,27712.56292426263,15993.22655674929,19515.965499419293,37092.11737064736,13462.172863919139,25991.393428693624,8771.551504194202,14572.248950466786,11731.739501911403
72,8228.568734792869,8778.513530251155,21047.11862353264,58435.00033079515,57845.71831074072,27725.605056271383,16005.195342345656,19516.823919461138,37096.05479694667,13461.547858674216,26000.484038937004,8770.392306840246,14575.015598194568,11737.617278962316
73,8232.60876111166,8782.777228591047,21047.85809283994,58483.6558637572,57884.704063449484,27738.62723934303,16017.158466496736,19517.67888565863,37099.98453917985,13460.920966866788,26009.554133326343,8769.24261566272,14577.78780329853,11743.504421283835
74,8236.646945391265,8787.032160961176,21048.5912567317,58532.27230588535,57923.66309970312,27751.629405671592,16029.115879203318,19518.530332192655,37103.90652755458,13460.292178358422,26018.603654855855,8768.102419361312,14580.56553815513,11749.400928553529
75,8240.683262163368,8791.2783048427,21049.318097482916,58580.84939985457,57962.595282789414,27764.611487571918,16041.067530540302,19519.378193348963,37107.820692423855,13459.66148302843,26027.632546621844,8766.971706566479,14583.348775077935,11755.30680035591
76,8244.717685982876,8795.515637767214,21050.038597412917,58629.386888351706,58001.5004761553,27777.573417480307,16053.013370657158,19520.22240351928,37111.72696428681,13459.028870773875,26036.640751823044,8765.850465839498,14586.13748631794,11761.222036182371
77,8248.750191428177,8799.744137316973,21050.752738885887,58677.8845140774,58040.37854340817,27790.515127955125,16064.953349778432,19521.062897202275,37115.62527378961,13458.394331509782,26045.628213761247,8764.738685672603,14588.931644063849,11767.146635431165
78,8252.780753101333,8803.963781125227,21051.460504311217,58726.3420197482,58079.22934831689,27803.436551677532,16076.887418204196,19521.899609004508,37119.51555172604,13457.757855169117,26054.5948758419,8763.636354489046,14591.73122044223,11773.080597407246
79,8256.809345628315,8808.17454687643,21052.161876143935,58774.759148098616,58118.05275481292,27816.337621451905,16088.815526310513,19522.732473641525,37123.39772903851,13457.119431702971,26063.540681574523,8762.543460643235,14594.536187517882,11779.023921322358
80,8260.835943659209,8812.376412306527,21052.85683688512,58823.13564188326,58156.848626991574,27829.21827020688,16100.73762454997,19523.56142593885,37127.2717368187,13456.479051080627,26072.465574573434,8761.459992420809,14597.346517294047,11784.976606294882
81,8264.860521868448,8816.569355203228,21053.545369082247,58871.47124387872,58195.61682911307,27842.078430995614,16112.653663452065,19524.386400832827,37131.13750630844,13455.836703289666,26081.369498558135,8760.385938038733,14600.162181712614,11790.938651349783
82,8268.883054955002,8820.75335340626,21054.22745532971,58919.765696885785,58234.3572256038,27854.91803699664,16124.563593623787,19525.207333371898,37134.994968900486,13455.192378336085,26090.252397353972,8759.321285645441,14602.983152654488,11796.910055418604
83,8272.903517642615,8824.928384807643,21054.903078269133,58968.018743731474,58273.06968105707,27867.7370215145,16136.467365749962,19526.02415871737,37138.844056139234,13454.546066244355,26099.114214892605,8758.266023320884,14605.80940193974,11802.890817339388
84,8276.921884680027,8829.094427351933,21055.572220589776,59016.23012727114,58311.7540602347,27880.535317980277,16148.364930593852,19526.83681214449,37142.68469972152,13453.89775705752,26107.95489521256,8757.220139076668,14608.64090132794,11808.880935856605
85,8280.93813084116,8833.251459036497,21056.23486502902,59064.39959039035,58350.41022806793,27893.31285995234,16160.256238997466,19527.64522904347,37146.51683149755,13453.247440837387,26116.774382459836,8756.183620856162,14611.477622518398,11814.880409621164
86,8284.952230925353,8837.39945791178,21056.89099437267,59112.526876007236,58389.03804965848,27906.069581116953,16172.141241882207,19528.449344920427,37150.340383471455,13452.59510766446,26125.572620888423,8755.156456534576,14614.319537150415,11820.889237190286
87,8288.96415975757,8841.538402081549,21057.540591455374,59160.61172707424,58427.6373902797,27918.805415288876,16184.019890249141,19529.249095398456,37154.15528780215,13451.940747638177,26134.34955486069,8754.138633919092,14617.166616803526,11826.907417027505
88,8292.973892188624,8845.668269703156,21058.18363916109,59208.65388658066,58466.2081153778,27931.520296412054,16195.892135179643,19530.044416218505,37157.9614768042,13451.28435087696,26143.10512884826,8753.130140748952,14620.018832997866,11832.93494750261
89,8296.981403095362,8849.789038987816,21058.82012042338,59256.653097554066,58504.750090573005,27944.214158560215,16207.757927835732,19530.835243240504,37161.75888294846,13450.6259075183,26151.839287432176,8752.130964695581,14622.87615719428,11838.97182689159
90,8300.986667380908,8853.900688200834,21059.45001822589,59304.60910306298,58543.26318166032,27956.88693593751,16219.617219460582,19531.621512444206,37165.54743886288,13449.965407718828,26160.551975303733,8751.141093362701,14625.738560794707,11845.018053376582
91,8304.989659974854,8858.003195661886,21060.07331560266,59352.52164621864,58581.74725461107,27969.538562879123,16231.46996137896,19532.403159930345,37169.32707733327,13449.302841654508,26169.243137264773,8750.160514286388,14628.6060151424,11851.073625045854
92,8308.990355833479,8862.09653974526,21060.689995638633,59400.39047017705,58620.20217557371,27982.168973851964,16243.316104997713,19533.180121921443,37173.09773130412,13448.638199520603,26177.91271822846,8749.189214935252,14631.478491522212,11857.138539893705
93,8312.988729939969,8866.180698880115,21061.300041469924,59448.215318141294,58658.62781087507,27994.778103455254,16255.155601806167,19533.95233476295,37176.85933387925,13447.971471531864,26186.560663219625,8748.227182710523,14634.355961160825,11863.21279582049
94,8316.98475730459,8870.255651550735,21061.903436284236,59495.99593336329,58697.0240270214,28007.365886421074,16266.98840337664,19534.71973492415,37180.611818322606,13447.302647922575,26195.186917375373,8747.274404946129,14637.23839522706,11869.296390632528
95,8320.978412964956,8874.321376296788,21062.500163321314,59543.732059146016,58735.39069069943,28019.93225761516,16278.814461364851,19535.482258999145,37184.35511805908,13446.63171894668,26203.79142594564,8746.33086890885,14640.125764832143,11875.389322042054
96,8324.969671986184,8878.377851713567,21063.090205873264,59591.423438845784,58773.72766877767,28032.477152037318,16290.633727510383,19536.239843707885,37188.08916667513,13445.958674877846,26212.37413429369,8745.396561798403,14643.018041029936,11881.491587667226
97,8328.95850946114,8882.425056452252,21063.673547284943,59639.06981587405,58812.034828307194,28045.000504822252,16302.446153637151,19536.99242589706,37191.81389791972,13445.283506009575,26220.934987896624,8744.471470747578,14645.91519481726,11887.603185032034
98,8332.944900510602,8886.462969220147,21064.25017095439,59686.67093369944,58850.31203652307,28057.50225124004,16314.251691653806,19537.73994254121,37195.5292457048,13444.606202655294,26229.473932346,8743.555582822337,14648.817197134116,11893.724111566278
99,8336.928820283529,8890.491568780946,21064.82006033308,59734.22653585013,58888.55916084507,28069.98232669677,16326.050293554215,19538.48233074355,37199.23514410629,13443.926755148423,26237.990913348214,8742.648885021936,14651.724018864037,11899.854364605535
100,8340.91024395721,8894.51083395496,21065.38319892652,59781.73636591572,58926.77606887914,28082.440666735198,16337.841911417901,19539.219527737114,37202.93152736463,13443.245153842508,26246.485876725183,8741.751364279024,14654.635630834222,11905.993941391105
101,8344.889146737512,8898.52074361939,21065.939570294388,59829.200167549316,58964.96262841826,28094.877207035326,16349.62649741048,19539.95147088555,37206.61832988574,13442.561389111286,26254.958768414766,8740.863007459788,14657.552003815981,11912.142839069997
102,8348.865503859057,8902.521276708554,21066.48915805105,59876.61768446969,59003.118707443435,28107.291883415088,16361.404003784062,19540.67809768425,37210.29548624144,13441.87545134877,26263.409534471357,8739.983801364042,14660.473108524844,11918.301054694854
103,8352.839290585438,8906.512412214131,21067.03194586594,59923.988660463234,59041.24417412507,28119.68463183075,16373.174382877758,19541.39934576128,37213.96293117054,13441.18733096934,26271.83812106632,8739.113732725384,14663.398915621012,11924.468585223962
104,8356.810482209434,8910.494129185428,21067.567917463814,59971.31283938627,59079.33889682385,28132.055388377827,16384.937587118067,19542.115152878232,37217.620599579175,13440.497018407868,26280.244474488598,8738.25278821125,14666.329395709452,11930.645427521162
105,8360.779054053186,8914.466406729605,21068.09705662529,60018.58996516685,59117.40274409182,28144.404089291456,16396.693569019368,19542.825456931383,37221.268426541996,13439.80450411977,26288.628541145215,8737.4009544231,14669.26451934031,11936.831578355894
106,8364.744981468437,8918.429224011912,21068.61934718705,60065.81978180711,59155.435584673454,28156.730670947018,16408.442281184245,19543.53019595253,37224.90634730239,13439.109778581093,26296.990267561778,8736.558217896501,14672.204257009114,11943.027034403058
107,8368.708239836704,8922.382560255948,21069.134773042308,60113.00203338502,59193.43728750679,28169.03506986087,16420.18367630405,19544.229308110014,37228.53429727363,13438.412832288639,26305.329600382967,8735.724565101264,14675.14857915709,11949.231792243057
108,8372.668804569488,8926.326394743897,21069.64331814118,60160.13646405691,59231.40772172443,28181.317222690825,16431.91770715923,19544.922731709656,37232.15221203922,13437.71365575999,26313.646486373178,8734.899982441531,14678.097456171414,11955.445848361762
109,8376.62665110849,8930.260706816749,21070.144966490996,60207.22281805919,59269.346756654704,28193.577066236787,16443.644326619804,19545.610405195748,37235.76002735395,13437.012239533697,26321.94087241679,8734.084456255963,14681.050858385557,11961.669199150445
110,8380.5817549258,8934.185475874585,21070.639702156648,60254.2608397106,59307.25426182251,28205.814537441373,16455.363487645813,19546.292267152006,37239.35767914435,13436.308574169248,26330.212705519,8733.27797281781,14684.00875607944,11967.901840905735
111,8384.53409152409,8938.100681376756,21071.12750926105,60301.25027341417,59345.13010695064,28218.029573390504,16467.075143287664,19546.968256302473,37242.9451035096,13435.602650247238,26338.461932806124,8732.480518335045,14686.97111947986,11974.143769829685
112,8388.48363643683,8942.00630284215,21071.608371985392,60348.19086365949,59382.97416196063,28230.2221113139,16478.77924668662,19547.638311512612,37246.52223672198,13434.89445836943,26346.688501526118,8731.692078950491,14689.937918760668,11980.39498202962
113,8392.430365228478,8945.902319849443,21072.082274569566,60395.082355024635,59420.786296973936,28242.39208858579,16490.475751075257,19548.30237179011,37250.089015227866,13434.183989158844,26354.892359049187,8730.912640741952,14692.909124043073,11986.655473518185
114,8396.374253494685,8949.78871203731,21072.549201312464,60441.92449217837,59458.566382312856,28254.539442725534,16502.16460977774,19548.960376285926,37253.645375648164,13433.47123325982,26363.07345286824,8730.142189722354,14695.884705395993,11992.925240213312
115,8400.31527686248,8953.665459104663,21073.00913657239,60488.71701988213,59496.31428850181,28266.664111398008,16513.845776210408,19549.612264295258,37257.191254779216,13432.75618133816,26371.231730599393,8729.38071183982,14698.864632836261,11999.204277938125
116,8404.253410990485,8957.532540810887,21073.462064767376,60535.45968299213,59534.02988626802,28278.766032414394,16525.519203882086,19550.25797525839,37260.72658959334,13432.038824081124,26379.36713998246,8728.62819297786,14701.848876328913,12005.492582421028
117,8408.188631569104,8961.389936976073,21073.907970375574,60582.15222646166,59571.71304654293,28290.845143732684,16537.184846394535,19550.89744876179,37264.25131723964,13431.319152197628,26387.47962888156,8727.884618955466,14704.83740578755,12011.790149295572
118,8412.120914320714,8965.237627481252,21074.346837935485,60628.794395342775,59609.36364046292,28302.90138345826,16548.842657442856,19551.5306245389,37267.76537504452,13430.597156418205,26395.569145285495,8727.149975527227,14707.83019107452,12018.096974100516
119,8416.050234999868,8969.075592268611,21074.778652046498,60675.38593478863,59646.98153937063,28314.934689844416,16560.49259081589,19552.157442471245,37271.26870051271,13429.872827495177,26403.635637308285,8726.42424838351,14710.827202001303,12024.413052279724
120,8419.976569393495,8972.903811341745,21075.203397369038,60721.926590055744,59684.56661481566,28326.94500129312,16572.134600396705,19552.77784258926,37274.76123132744,13429.146156202705,26411.679053189786,8725.707423150521,14713.828408328714,12030.738379182194
121,8423.899893321075,8976.722264765862,21075.621058625104,60768.416106505596,59722.11873855602,28338.932256355347,16583.76864016286,19553.39176507326,37278.242905351624,13428.417133336905,26419.699341296033,8724.999485390501,14716.833779767247,12037.072950062066
