time (min),male1,male2,male3,male4,male5,male6
10270,33769.14495936783,42258.07310085838,15155.132536487514,53376.46596512663,31466.25333323416,41070.32603669828
10271,33775.78684976071,42274.53266688208,15154.706121947755,53396.928650865804,31468.65130734351,41075.1443537364
10272,33782.410874395166,42290.96948389767,15154.282178467547,53417.35331805048,31471.066816109575,41079.96372613476
10273,33789.01704412603,42307.38355375874,15153.860717100188,53437.739896216,31473.499852298675,41084.78410325843
10274,33795.605369807214,42323.77487845208,15153.441748907682,53458.088315256435,31475.95040855764,41089.60543454755
10275,33802.17586229163,42340.14346009819,15153.025284960586,53478.398505424855,31478.418477413903,41094.42766951789
10276,33808.728532431145,42356.489300950794,15152.611336337903,53498.67039733399,31480.904051275145,41099.25075776124
10277,33815.263391076325,42372.81240339685,15152.199914126817,53518.903921956175,31483.40712242949,41104.07464894562
10278,33821.78044907651,42389.11276995632,15151.79102942253,53539.0990106241,31485.927683045178,41108.899292815455
10279,33828.27971727956,42405.39040328208,15151.384693328142,53559.25559503099,31488.465725170674,41113.72463919205
10280,33834.76120653191,42421.64530615963,15150.980916954388,53579.37360723095,31491.021240734404,41118.550637973916
10281,33841.2249276783,42437.87748150721,15150.579711419581,53599.45297963942,31493.594221544987,41123.377239136986
10282,33847.67089156176,42454.08693237542,15150.181087849334,53619.49364503342,31496.18465929073,41128.204392735
10283,33854.09910902349,42470.2736619472,15149.78505737642,53639.49553655196,31498.79254553985,41133.03204889959
10284,33860.509590902824,42486.43767353743,15149.391631140605,53659.45858769629,31501.41787174023,41137.86015784108
10285,33866.90234803699,42502.578970593204,15149.000820288455,53679.38273233032,31504.060629219475,41142.68866984811
10286,33873.277391261065,42518.69755669322,15148.61263597318,53699.26790468078,31506.720809184793,41147.51753528843
10287,33879.634731408034,42534.79343554798,15148.227089354412,53719.11403933787,31509.398402722807,41152.34670460896
10288,33885.974379308376,42550.86661099939,15147.844191598111,53738.92107125509,31512.093400799604,41157.17612833634
10289,33892.29634579023,42566.91708702066,15147.46395387629,53758.68893575005,31514.805794260596,41162.00575707685
10290,33898.60064167915,42582.94486771616,15147.086387366879,53778.41756850435,31517.53557383052,41166.835541516855
10291,33904.88727779807,42598.94995732133,15146.71150325358,53798.10690556417,31520.282730113206,41171.66543242335
10292,33911.15626496716,42614.93236020234,15146.33931272563,53817.75688334026,31523.047253591634,41176.49538064377
10293,33917.407614003765,42630.892080855934,15145.96982697768,53837.36743860866,31525.82913462783,41181.32533710671
10294,33923.641335722285,42646.82912390953,15145.603057209553,53856.9385085104,31528.628363462787,41186.15525282187
10295,33929.85744093404,42662.7434941207,15145.239014626108,53876.470030552344,31531.44493021639,41190.985078880534
10296,33936.055940447244,42678.63519637712,15144.877710437035,53895.961942607006,31534.27882488729,41195.81476645581
10297,33942.23684506684,42694.504235696506,15144.519155856733,53915.4141829132,31537.13003735294,41200.644266802905
10298,33948.400165594365,42710.350617226184,15144.163362104015,53934.82669007584,31539.998557369425,41205.47353125924
10299,33954.54591282802,42726.174346243286,15143.810340402075,53954.199403066596,31542.884374571433,41210.302511245034
10300,33960.67409756235,42741.9754281541,15143.460101978182,53973.532261223896,31545.787478472175,41215.13115826323
10301,33966.784730588304,42757.753868494285,15143.112658063532,53992.82520425338,31548.707858463375,41219.959423900094
10302,33972.877822693015,42773.509672928405,15142.768019893121,54012.078172227746,31551.645503815034,41224.78725982515
10303,33978.953384659915,42789.242847249945,15142.42619870551,54031.29110558737,31554.60040367553,41229.61461779174
10304,33985.01142726825,42804.95339738102,15142.087205742664,54050.46394514042,31557.5725470715,41234.44144963706
10305,33991.051961293444,42820.64132937217,15141.751052249738,54069.59663206291,31560.56192290781,41239.26770728257
10306,33997.074997506614,42836.30664940219,15141.417749474933,54088.689107899096,31563.56851996731,41244.09334273418
10307,34003.0805466747,42851.94936377796,15141.087308669321,54107.741314561514,31566.592326910995,41248.918308082444
10308,34009.06861956022,42867.56947893419,15140.759741086598,54126.75319433128,31569.633332277757,41253.74255550297
10309,34015.03922692136,42883.16700143325,15140.435057982977,54145.724689858434,31572.691524484562,41258.56603725661
10310,34020.99237951165,42898.74193796505,15140.113270616977,54164.655744161675,31575.766891826053,41263.38870568968
10311,34026.928088080014,42914.29429534663,15139.794390249215,54183.546300629,31578.85942247473,41268.210513234015
10312,34032.84636337058,42929.82408052221,15139.47842814224,54202.39630301763,31581.96910448083,41273.03141240772
10313,34038.74721612276,42945.331300562764,15139.165395560356,54221.20569545426,31585.095925772246,41277.851355814986
10314,34044.63065707086,42960.815962665954,15138.855303769471,54239.974422435254,31588.23987415446,41282.67029614631
10315,34050.49669694427,42976.278074155874,15138.548164036782,54258.70242882662,31591.40093731046,41287.48818617906
10316,34056.34534646714,42991.7176424828,15138.243987630785,54277.38965986438,31594.57910280077,41292.30497877756
10317,34062.17661635843,43007.1346752231,15137.94278582091,54296.036061154606,31597.774358063314,41297.12062689317
10318,34067.99051733179,43022.52918007878,15137.644569877488,54314.64157867359,31600.986690413327,41301.93508356463
10319,34073.78706009538,43037.90116487764,15137.349351071434,54333.20615876799,31604.216087043373,41306.74830191848
10320,34079.56625535185,43053.250637572564,15137.057140674102,54351.72974815482,31607.46253502328,41311.560235168974
10321,34085.32811379825,43068.5776062418,15136.767949957224,54370.21229392181,31610.72602129999,41316.37083661854
10322,34091.07264612585,43083.88207908847,15136.481790192502,54388.65374352736,31614.006532697695,41321.180059657854
10323,34096.799863020104,43099.164064440265,15136.198672651608,54407.05404480064,31617.304055917477,41325.987857766166
10324,34102.50977516054,43114.42357074948,15135.918608605867,54425.413145941755,31620.618577537625,41330.79418451149
10325,34108.20239322073,43129.66060659257,15135.641609326205,54443.73099552199,31623.950084013217,41335.598993550906
10326,34113.87772786806,43144.87518066997,15135.36768608286,54462.007542483465,31627.298561676344,41340.402238630566
10327,34119.53578976368,43160.06730180607,15135.096850145175,54480.242736139764,31630.663996735882,41345.20387358606
10328,34125.17658956252,43175.23697894857,15134.829112781536,54498.43652617555,31634.04637527756,41350.00385234273
10329,34130.800137913066,43190.38422116872,15134.564485259067,54516.588862647055,31637.44568326383,41354.802128915646
10330,34136.40644545722,43205.50903766064,15134.302978843501,54534.699695981755,31640.861906533828,41359.598657409995
10331,34141.99552283041,43220.611437741434,15134.04460479896,54552.76897697874,31644.295030803343,41364.393392021164
10332,34147.56738066128,43235.691430850784,15133.789374387829,54570.796656808634,31647.745041664773,41369.1862870352
10333,34153.12202957171,43250.74902655068,15133.537298870442,54588.78268701378,31651.211924587,41373.97729682865
10334,34158.65948017673,43265.78423452527,15133.288389505067,54606.72701950796,31654.695664915478,41378.76637586893
10335,34164.17974308427,43280.797064580554,15133.042657547578,54624.629606576855,31658.19624787203,41383.55347871472
10336,34169.68282889536,43295.787526644315,15132.800114251315,54642.49040087781,31661.71365855498,41388.33856001584
10337,34175.168748203694,43310.75563076552,15132.560770866921,54660.30935543997,31665.247881938936,41393.121574513694
10338,34180.63751159576,43325.70138711432,15132.324638642109,54678.08642366428,31668.798902874794,41397.90247704127
10339,34186.08912965064,43340.6248059819,15132.091728821524,54695.8215593236,31672.36670608973,41402.68122252347
10340,34191.523612940044,43355.525897779866,15131.862052646477,54713.51471656245,31675.951276187203,41407.45776597728
10341,34196.94097202806,43370.40467304042,15131.63562135485,54731.16584989736,31679.552597646758,41412.23206251197
10342,34202.34121747106,43385.261142415635,15131.41244618082,54748.77491421662,31683.170654824127,41417.00406732926
10343,34207.724359817876,43400.09531667773,15131.192538354786,54766.34186478047,31686.80543195104,41421.77373572332
10344,34213.09040960926,43414.90720671837,15130.975909102983,54783.8666572209,31690.456913135433,41426.5410230814
10345,34218.439377378214,43429.69682354862,15130.762569647537,54801.34924754173,31694.125082361083,41431.30588488358
10346,34223.77127364956,43444.46417829857,15130.552531206069,54818.78959211879,31697.809923487817,41436.06827670322
10347,34229.086108940086,43459.20928221727,15130.345804991643,54836.18764769943,31701.511420251383,41440.828154206916
10348,34234.383893758364,43473.932146672225,15130.142402212512,54853.54337140297,31705.229556263395,41445.58547315496
10349,34239.66463860468,43488.63278314924,15129.942334071891,54870.856720720396,31708.96431501129,41450.34018940125
10350,34244.928353970776,43503.31120325214,15129.745611767872,54888.12765351429,31712.715679858422,41455.09225889352
10351,34250.17505034003,43517.967418702676,15129.552246493175,54905.35612801908,31716.483634043783,41459.84163767368
10352,34255.40473818717,43532.601441339764,15129.362249434924,54922.54210284061,31720.268160682175,41464.58828187782
10353,34260.617427978264,43547.213283119774,15129.175631774537,54939.6855369564,31724.06924276411,41469.33214773643
10354,34265.81313017061,43561.80295611599,15128.992404687442,54956.78638971531,31727.886863155712,41474.07319157451
10355,34270.99185521257,43576.37047251831,15128.812579342988,54973.84462083769,31731.72100459879,41478.81136981181
10356,34276.15361354356,43590.91584463295,15128.636166904167,54990.860190415246,31735.57164971072,41483.54663896294
10357,34281.29841559403,43605.43908488236,15128.463178527476,55007.833058910925,31739.43878098452,41488.27895563765
10358,34286.426271785116,43619.94020580474,15128.293625362707,55024.763187158795,31743.322380788595,41493.008276540786
10359,34291.53719252885,43634.41922005379,15128.127518552772,55041.65053636403,31747.22243136705,41497.73455847255
10360,34296.63118822784,43648.87614039849,15127.964869233456,55058.49506810289,31751.13891483927,41502.45775832873
10361,34301.70826927533,43663.310979722984,15127.805688533324,55075.29674432236,31755.071813200237,41507.17783310075
10362,34306.768446054964,43677.72375102572,15127.649987573448,55092.05552734038,31759.021108320267,41511.894739875854
10363,34311.811728940855,43692.11446741988,15127.497777467257,55108.771379845435,31762.98678194511,41516.608435837144
10364,34316.838128297335,43706.48314213249,15127.349069320326,55125.44426489661,31766.968815695796,41521.31887826395
10365,34321.84765447898,43720.829788504605,15127.20387423016,55142.074145923456,31770.967191068838,41526.02602453189
10366,34326.84031783043,43735.15441999063,15127.062203286096,55158.66098672582,31774.98188943589,41530.72983211289
10367,34331.81612868641,43749.45705015827,15126.924067568996,55175.20475147368,31779.012892044007,41535.43025857539
10368,34336.77509737159,43763.73769268803,15126.789478151155,55191.70540470705,31783.060180015473,41540.12726158453
10369,34341.71723420033,43777.99636137337,15126.658446096038,55208.16291133587,31787.123734347784,41544.82079890245
10370,34346.6425494769,43792.23307011966,15126.53098245813,55224.57723663993,31791.203535913686,41549.51082838793
10371,34351.55105349514,43806.44783294452,15126.407098282703,55240.94834626842,31795.2995654611,41554.19730799708
10372,34356.442756538374,43820.64066397731,15126.286804605663,55257.2762062401,31799.41180361313,41558.88019578309
10373,34361.3176688796,43834.81157745866,15126.170112453374,55273.56078294289,31803.540230868013,41563.55944989656
