time (min),male1,male2,male3,male4,male5,male6
309,63,62,95,79,51,24
310,65,78,119,90,69,14
311,72,58,33,97,153,49
312,30,94,0,111,108,25
313,0,95,0,18,40,41
314,7,37,5,15,40,10
315,50,80,0,37,90,16
316,84,72,0,38,32,55
317,42,87,0,83,80,39
318,1,64,36,80,38,90
319,57,49,10,13,48,23
320,88,78,65,80,29,1
321,81,53,23,115,11,8
322,67,67,12,85,50,25
323,12,45,25,34,11,33
324,34,65,0,93,2,1
325,76,52,15,91,12,8
326,42,18,51,131,49,14
327,54,6,50,87,0,56
328,48,54,54,34,0,35
329,14,2,67,15,0,0
330,35,0,62,7,0,15
331,26,32,79,55,0,42
332,38,34,14,0,0,16
333,41,46,44,0,10,113
334,53,29,56,0,0,44
335,69,24,83,8,0,58
336,63,19,47,0,0,116
337,84,12,22,0,0,56
338,66,25,29,0,0,48
339,61,31,2,16,0,0
340,46,3,29,66,0,0
341,47,11,61,59,0,34
342,73,32,50,1,0,50
343,37,0,98,24,0,97
344,14,0,101,40,0,26
345,67,43,38,17,0,0
346,49,0,18,86,0,26
347,58,32,27,55,0,0
348,40,25,43,13,0,38
349,0,0,61,13,0,8
350,0,0,95,0,0,38
351,0,74,71,0,0,108
352,0,0,39,0,0,135
353,0,0,26,0,0,86
354,0,0,76,0,0,128
355,0,0,70,0,0,93
356,6,0,58,0,0,102
357,26,0,43,0,0,115
358,9,0,6,0,0,40
359,23,0,34,0,0,21
360,10,0,67,0,0,0
361,22,0,109,0,0,0
362,10,0,98,0,0,59
363,1,0,34,0,0,50
364,0,0,36,0,0,0
365,0,0,18,0,0,2
366,44,0,37,0,0,65
367,0,0,64,0,5,74
368,0,77,5,0,0,83
369,9,56,28,0,5,90
370,12,50,39,0,0,66
371,0,0,3,27,26,70
372,0,0,0,14,0,23
373,0,10,13,0,0,20
374,11,0,43,0,0,8
375,0,38,110,0,0,17
376,19,10,59,0,0,0
377,0,20,23,0,0,0
378,0,1,40,0,0,0
379,0,2,13,0,0,1
380,15,64,90,7,0,7
381,0,15,99,22,0,34
382,0,47,64,17,0,56
383,11,37,20,0,4,21
384,0,26,23,0,17,6
385,0,43,14,0,15,0
386,0,42,0,0,38,0
387,0,45,4,0,0,0
388,0,86,51,0,0,0
389,0,32,27,0,0,0
390,0,48,56,0,1,13
391,0,78,37,0,2,12
392,0,24,65,0,0,34
393,0,87,8,0,21,0
394,0,100,3,0,28,8
395,0,83,89,0,28,4
396,8,94,85,4,88,20
397,38,96,78,0,41,1
398,26,83,21,0,60,0
399,0,53,0,9,8,0
400,0,102,10,27,58,0
401,0,90,0,0,14,0
402,2,82,0,0,38,12
403,0,83,15,0,29,0
404,0,79,29,0,17,1
405,0,101,15,0,0,0
406,0,90,0,0,0,4
407,0,72,0,0,9,0
408,1,47,1,0,47,0
409,3,72,58,0,56,0
410,0,97,34,0,36,0
411,0,102,85,0,41,0
412,0,69,84,0,3,0
413,0,98,75,0,0,3
414,0,100,48,0,50,47
415,0,48,37,0,48,30
416,0,41,33,0,95,33
417,0,82,21,0,86,66
418,0,94,54,0,75,75
419,8,59,30,0,29,14
420,0,13,51,0,83,0
421,0,74,56,0,76,0
422,0,103,53,0,4,0
423,2,90,46,0,14,0
424,0,81,18,0,5,0
425,0,59,13,0,6,0
426,8,46,30,0,34,0
427,22,95,7,0,26,0
428,0,89,25,0,2,0
429,0,87,3,0,0,9
430,0,97,6,4,0,30
431,0,67,22,1,0,0
432,0,91,27,0,0,16
433,0,66,1,0,0,6
434,0,49,35,0,0,0
435,0,86,96,0,0,13
436,46,86,8,0,0,46
437,25,70,18,0,4,17
438,32,82,35,0,0,0
439,34,42,25,0,0,2
440,1,85,82,0,2,0
441,15,98,56,0,0,0
442,11,48,4,0,6,0
443,0,94,53,0,4,0
444,12,88,16,0,1,0
445,12,74,18,0,22,0
446,7,55,45,0,71,0
447,8,71,90,0,77,0
448,0,80,42,0,18,0
449,0,57,37,0,27,0
450,39,66,52,0,43,0
451,35,108,31,0,30,0
452,25,105,17,4,0,0
453,22,85,0,31,0,0
454,1,17,11,7,0,0
455,0,57,46,11,4,0
456,27,102,50,48,2,0
457,33,65,9,49,31,0
458,5,117,56,28,0,0
459,0,33,65,39,0,0
460,9,77,75,79,0,0
461,91,99,27,14,24,0
462,79,92,59,79,48,0
463,73,77,84,37,126,0
464,50,106,17,63,63,0
465,78,76,53,4,23,0
466,49,21,28,49,67,0
467,42,41,4,127,85,30
468,69,75,44,66,109,1
469,63,99,17,40,103,0
470,71,75,12,104,46,0
471,20,84,0,123,24,0
472,25,49,0,24,68,0
473,76,99,40,21,16,9
474,86,61,72,41,42,6
475,59,56,18,102,22,21
476,51,75,52,87,29,0
477,77,95,65,46,0,0
478,51,68,18,67,0,14
479,57,94,4,43,19,29
480,59,105,32,0,21,29
481,0,114,16,30,65,17
482,0,91,30,65,91,19
483,0,63,26,121,69,0
484,20,52,32,136,75,0
485,17,41,68,143,54,0
486,13,46,34,92,15,0
487,58,55,15,159,5,6
488,76,96,16,14,57,6
489,73,124,13,6,34,0
490,73,73,5,49,70,8
491,88,70,24,87,58,64
492,65,80,60,149,27,105
493,91,37,48,154,120,63
494,63,81,57,88,141,54
495,31,46,62,100,30,86
496,19,66,33,84,0,109
497,0,73,41,78,0,68
498,0,49,38,43,32,0
499,0,22,18,64,0,0
500,43,28,20,108,5,28
501,123,2,54,56,29,94
502,60,41,72,59,22,106
503,61,53,24,63,67,103
504,56,48,26,42,1,110
505,32,47,15,19,23,128
506,9,59,17,54,56,23
507,23,24,15,60,81,23
508,7,33,39,31,45,15
509,0,18,5,99,12,13
510,0,0,6,14,77,101
511,21,0,0,0,39,112
512,0,0,15,0,1,17
513,0,0,6,5,66,42
514,10,0,49,0,42,77
515,0,39,48,50,68,105
516,0,0,18,12,16,63
517,9,0,7,3,39,26
518,13,0,17,34,39,22
519,0,0,0,14,50,0
520,0,0,20,15,32,56
521,0,0,0,7,0,60
522,0,0,16,0,11,104
523,0,0,2,0,1,56
524,0,0,0,0,0,2
525,31,0,12,0,10,0
526,0,0,13,0,0,58
527,0,3,29,0,0,21
528,0,0,17,0,0,0
529,0,0,24,0,0,3
530,0,48,23,0,0,4
531,0,28,0,0,0,55
532,0,0,0,0,2,103
533,0,0,0,0,0,72
534,0,0,10,8,0,115
535,0,29,2,0,0,83
536,26,0,0,0,0,62
537,19,0,22,0,17,41
538,5,0,0,0,0,32
539,20,0,0,0,0,73
540,0,0,0,0,0,35
541,35,0,0,0,0,14
542,31,0,0,0,0,0
543,0,15,0,0,0,20
544,0,1,0,0,0,0
545,0,0,0,0,0,13
546,0,0,0,0,0,6
547,0,0,0,0,0,0
548,0,0,0,0,0,0
549,17,0,0,0,0,2
550,57,0,0,0,17,0
551,65,0,0,0,0,0
552,0,0,0,0,0,0
553,0,13,0,0,0,0
554,6,0,0,0,0,0
555,0,0,0,0,0,0
556,0,0,0,0,13,0
557,0,0,0,19,0,3
558,0,0,0,0,0,0
559,0,0,0,0,0,0
560,0,0,0,2,0,10
561,0,0,0,0,0,0
562,0,0,0,0,0,0
563,0,0,7,0,0,0
564,11,0,11,0,0,26
565,25,0,0,0,0,4
566,19,0,0,0,0,0
567,35,0,0,0,19,8
568,52,0,0,0,0,15
569,5,5,0,0,5,6
570,9,8,0,26,8,0
571,3,0,0,49,0,0
572,0,0,0,2,0,0
573,0,0,0,6,0,12
574,0,0,0,0,0,15
575,0,0,0,0,0,3
576,0,0,0,0,0,6
577,0,0,0,0,0,23
578,0,0,15,0,0,20
579,0,0,15,0,0,0
580,7,0,41,0,0,20
581,0,0,49,0,0,40
582,0,0,1,0,0,40
583,0,0,57,2,0,0
584,0,0,71,17,0,11
585,0,0,82,0,0,0
586,0,23,48,0,12,55
587,25,0,24,0,0,105
588,6,0,34,0,8,83
589,2,41,25,0,15,41
590,4,76,92,0,28,66
591,0,0,0,0,10,125
592,7,45,0,0,15,88
593,0,50,36,0,0,32
594,0,73,23,0,12,54
595,0,65,50,0,23,59
596,5,61,30,0,19,0
597,0,88,22,0,42,0
598,0,84,0,0,91,13
599,0,61,57,0,60,77
600,0,85,8,0,43,109
601,0,58,29,0,81,80
602,0,93,45,0,26,29
603,0,98,33,0,20,25
604,0,92,15,0,52,28
605,9,65,23,0,30,5
606,6,84,4,0,2,0
607,14,47,32,0,56,0
608,12,23,85,0,5,0
609,3,55,113,0,0,0
610,18,53,60,0,0,6
611,1,55,56,0,0,0
612,0,47,29,0,8,0
613,36,20,42,0,0,0
614,21,6,21,19,28,0
615,9,40,24,87,3,0
616,15,46,74,17,0,32
617,37,8,29,0,33,78
618,87,0,25,20,74,41
619,70,0,39,4,87,0
620,60,0,23,3,40,7
621,13,7,31,24,2,0
622,0,0,0,0,15,33
623,7,28,0,0,14,14
624,21,0,0,0,20,0
625,10,11,0,0,5,5
626,70,30,0,0,15,10
627,80,5,0,16,29,3
628,67,22,1,0,4,1
629,38,4,0,0,0,0
630,36,29,0,0,0,0
631,51,30,0,0,2,49
632,37,46,0,21,0,14
633,33,25,0,42,0,10
634,7,14,0,27,0,8
635,0,9,0,27,0,4
636,0,5,0,32,0,28
637,2,0,0,0,0,0
638,0,19,0,0,0,22
639,5,12,0,10,0,0
640,8,0,0,2,0,3
641,0,0,0,0,0,0
642,0,0,0,0,0,0
643,0,0,0,0,0,89
644,0,0,0,0,0,72
645,0,0,29,0,0,0
646,16,0,1,0,12,108
647,16,0,0,0,0,42
648,0,0,0,0,0,27
649,0,0,0,0,0,0
650,0,0,0,16,0,59
651,0,4,0,0,0,56
652,0,17,0,0,0,85
653,7,0,0,0,0,58
654,14,0,0,0,0,67
655,3,0,0,0,3,21
656,0,0,0,0,0,50
657,0,10,0,0,0,28
658,0,1,0,0,0,7
659,4,0,1,0,0,10
660,0,0,16,0,0,0
661,0,0,0,0,0,0
662,0,0,0,0,0,4
663,0,0,0,1,0,0
664,0,0,0,0,0,0
665,0,0,0,0,0,19
666,0,0,0,0,0,3
667,3,5,0,0,0,0
668,27,0,0,0,0,0
669,30,13,0,0,0,0
670,58,0,0,0,0,0
671,72,0,0,40,0,83
672,57,0,0,68,0,101
673,51,0,0,0,0,0
674,35,0,0,0,9,0
675,57,28,0,9,0,22
676,22,0,0,1,0,0
677,0,0,0,28,0,0
678,0,0,0,5,0,0
679,0,0,0,47,0,0
680,0,0,0,67,0,0
681,0,0,0,51,0,0
682,0,0,0,73,0,24
683,0,0,0,34,0,12
684,0,0,0,6,0,1
685,3,0,0,84,0,25
686,38,0,0,84,0,6
687,25,1,9,75,0,16
688,9,39,0,46,0,2
689,0,0,0,21,0,29
690,0,4,0,11,0,0
691,0,0,0,89,0,0
692,0,0,0,118,0,15
693,4,0,37,66,0,0
694,1,0,45,38,0,20
695,0,0,42,6,0,30
696,0,0,14,27,0,30
697,0,0,0,18,0,0
698,0,0,73,45,0,0
699,0,0,59,0,0,0
700,9,0,28,0,0,0
701,0,7,16,15,0,0
702,0,25,0,10,0,0
703,0,15,9,28,9,15
704,0,60,0,16,4,3
705,0,46,0,4,0,0
706,0,0,18,10,0,34
707,0,0,5,18,0,34
708,52,5,0,0,0,0
709,5,19,0,0,23,12
710,0,40,0,0,8,0
711,0,77,0,0,0,0
712,0,72,0,0,0,21
713,0,46,13,0,0,13
714,0,103,41,7,4,55
715,0,84,46,28,12,12
716,0,103,39,0,0,4
717,0,84,36,0,40,7
718,17,82,38,0,73,5
719,0,79,46,15,2,3
720,0,75,42,54,43,0
721,0,56,84,0,65,0
722,0,48,24,31,59,42
723,0,72,14,77,33,0
724,0,23,14,68,0,26
725,0,0,15,3,0,5
726,0,0,0,10,5,0
727,18,0,0,0,24,0
728,0,0,3,0,49,0
729,0,34,38,0,119,3
730,0,15,26,0,43,4
731,0,0,46,80,63,21
732,0,0,13,0,98,0
733,0,0,39,6,80,24
734,0,0,17,0,42,0
735,0,0,19,0,30,7
736,0,13,32,0,49,20
737,0,0,28,0,13,0
738,0,0,20,0,44,0
739,0,0,8,0,26,3
740,0,0,0,0,21,0
741,4,0,0,0,18,16
742,0,0,0,0,39,29
743,0,0,0,0,0,7
744,0,0,0,0,0,0
745,0,0,0,0,3,25
746,0,0,0,0,5,9
747,0,0,0,0,15,0
748,0,0,0,1,0,12
749,0,0,5,0,3,1
750,14,0,5,11,5,2
751,22,0,6,0,0,0
752,53,0,0,15,0,15
753,10,0,2,7,9,0
754,5,0,0,0,18,6
755,21,0,24,0,49,14
756,9,0,0,0,0,0
757,0,0,33,0,0,15
758,16,0,2,0,0,0
759,45,0,12,0,0,66
760,27,0,0,0,0,67
761,7,0,0,0,0,103
762,81,0,26,0,0,134
763,31,0,52,0,0,22
764,37,0,37,2,0,5
765,38,0,47,21,0,54
766,36,0,22,0,0,92
767,60,0,7,0,0,86
768,65,1,49,0,0,53
769,48,19,46,0,9,83
770,6,20,85,0,2,5
771,13,36,61,0,0,77
772,21,29,80,0,0,151.3898645
773,52,15,59,3,0,0
774,56,30,24,7,0,1
775,68,45,30,0,0,87
776,83,26,13,0,0,23
777,29,62,0,0,0,24
778,11,98,0,0,40,41
779,38,46,0,0,1,113
780,30,66,0,0,0,20
781,35,38,19,0,0,10
782,34,47,0,0,23,0
783,9,89,2,0,0,0
784,0,75,5,0,0,5
785,0,79,12,0,0,59
786,4,65,0,0,0,123
787,0,53,0,0,0,81
788,19,14,0,0,0,74
789,43,45,0,0,1,86
790,0,44,0,0,10,33
791,0,32,0,0,1,0
792,0,66,0,0,0,27
793,0,77,0,0,10,2
794,5,61,0,0,0,4
795,0,81,0,0,0,4
796,1,22,0,23,0,0
797,0,73,0,0,0,0
798,1,57,0,0,0,5
799,0,48,0,0,0,0
800,0,18,2,0,0,15
801,0,46,0,10,0,0
802,0,59,0,0,0,0
803,0,36,0,0,0,0
804,0,29,0,0,0,0
805,0,15,11,0,0,2
806,0,12,0,0,0,0
807,0,27,3,0,0,0
808,0,3,14,0,0,0
809,0,1,0,0,0,1
810,0,0,12,0,0,0
811,0,0,2,0,0,0
812,0,0,0,0,0,0
813,0,0,0,0,0,0
814,0,0,1,0,0,8
815,0,0,0,0,0,1
816,0,0,61,0,8,1
817,0,0,24,0,55,0
818,0,0,28,0,13,1
819,0,0,66,0,0,0
820,0,0,23,5,11,0
821,0,0,68,18,6,0
822,0,0,66,20,7,0
823,0,0,60,43,7,0
824,6,0,51,61,0,0
825,0,0,0,52,28,0
826,0,0,24,56,0,0
827,0,0,30,39,12,0
828,4,0,0,91,4,0
829,0,0,22,102,32,0
830,0,0,0,59,61,0
831,11,0,0,62,52,0
832,0,0,0,0,9,0
833,0,0,0,1,4,0
834,0,0,0,58,10,0
835,0,0,0,82,50,0
836,0,0,0,60,12,0
837,0,0,0,66,6,0
838,0,0,3,53,45,0
839,0,0,13,88,61,0
840,0,0,0,77,72,0
841,0,0,0,49,45,5
842,25,0,1,0,83,21
843,30,0,0,44,48,0
844,38,0,7,6,74,2
845,4,0,0,40,21,0
846,0,0,0,16,42,0
847,39,0,0,31,0,0
848,69,0,0,0,0,0
849,31,0,2,0,7,12
850,40,0,1,0,2,0
851,72,4,3,0,0,0
852,47,0,0,0,0,0
853,52,1,0,0,0,0
854,47,0,0,0,0,19
855,8,0,0,5,0,43
856,32,9,0,0,0,34
857,0,10,2,0,0,0
858,0,10,0,0,0,0
859,11,12,0,0,0,0
860,0,6,0,16,0,0
861,0,0,0,0,0,6
862,0,0,0,0,0,0
863,0,0,23,0,0,0
864,0,0,9,4,0,1
865,0,2,0,0,0,0
866,0,0,0,0,0,0
867,0,14,0,0,7,0
868,0,5,0,0,0,14
869,0,0,0,0,0,0
870,0,7,0,0,0,0
871,0,0,0,0,0,0
872,0,0,0,0,0,0
873,0,0,0,0,0,0
874,3,0,0,0,0,0
875,3,0,0,0,0,3
876,5,0,0,0,0,9
877,30,0,0,0,0,0
878,0,0,0,0,0,0
879,0,0,10,0,0,0
880,0,0,0,7,0,0
881,0,0,0,0,0,0
882,0,9,0,0,0,15
883,0,23,0,0,0,0
884,0,21,0,0,0,0
885,9,9,5,0,0,0
886,0,0,0,6,0,0
887,0,1,0,122,0,0
888,0,9,0,0,0,0
889,0,37,51,0,14,0
890,0,72,21,0,5,0
891,0,15,10,0,0,0
892,0,28,36,0,0,0
893,0,68,70,0,0,0
894,0,51,51,0,0,0
895,0,74,22,0,0,0
896,0,83,43,0,0,0
897,0,48,18,14,0,0
898,0,25,24,0,0,0
899,0,78,4,0,0,0
900,0,80,25,0,0,0
901,0,72,11,0,0,0
902,0,84,0,0,0,0
903,27,66,0,0,0,0
904,0,70,0,44,0,0
905,0,48,0,0,0,0
906,0,8,0,0,0,0
907,15,42,0,2,0,0
908,16,62,1,23,0,0
909,0,17,0,10,0,0
910,0,18,0,0,0,0
911,0,19,0,0,0,0
912,0,35,0,0,0,0
913,0,0,0,6,0,0
914,0,0,0,2,45,0
915,0,0,0,1,10,0
916,0,3,0,0,0,0
917,6,2,0,3,0,0
918,1,0,0,0,0,0
919,0,0,0,0,0,9
920,0,0,0,0,0,0
921,11,0,0,0,0,0
922,0,0,0,0,0,0
923,0,0,1,0,20,0
924,0,0,4,0,32,0
925,34,8,0,0,0,0
926,18,0,0,0,0,0
927,0,0,0,0,0,34
928,1,0,24,0,0,7
929,0,0,0,0,0,0
930,0,0,0,2,0,0
931,0,0,0,10,0,0
932,0,0,0,0,0,0
933,0,0,23,0,0,0
934,0,0,0,0,0,0
935,0,0,0,0,0,0
936,0,0,9,4,9,2
937,0,0,0,0,11,0
938,0,0,0,0,16,0
939,11,0,0,0,7,0
940,13,0,0,0,0,0
941,22,0,0,0,35,0
942,0,2,0,0,16,0
943,0,14,0,0,0,0
944,0,8,0,0,0,0
945,8,0,0,0,39,0
946,9,0,0,0,12,18
947,7,0,0,0,4,0
948,0,0,0,0,13,0
949,0,0,0,0,0,0
950,12,0,13,0,12,0
951,5,0,36,0,0,0
952,9,0,17,17,0,28
953,1,0,17,42,11,17
954,17,0,65,13,0,13
955,9,0,8,27,0,0
956,30,0,20,0,0,2
957,35,0,7,0,0,29
958,0,0,0,21,0,9
959,24,20,40,37,0,19
960,24,0,31,1,0,1
