time (min),male1,male2,male3,male4,male5,male6
97,12670.773687161081,13662.064031828466,12848.47137380285,12713.841380262922,12325.087863913244,13474.90058803625
98,12662.483924820566,13662.221718921042,12848.256061890692,12718.602276861067,12327.12478683326,13475.034157891192
99,12663.06938756181,13660.380587453437,12847.823937696467,12710.549937939864,12325.73437281799,13476.074640123754
100,12669.258963853721,13659.457198424989,12850.833526934575,12699.114215270418,12322.4428128776,13476.828843445453
101,12672.530259001765,13661.20835597886,12849.354373021086,12700.658640173207,12318.979623121011,13476.719629933701
102,12670.420656421542,13661.026444321647,12846.781672334555,12705.568992111695,12319.721629140995,13475.228942976673
103,12661.709317087789,13660.423108458237,12844.124577254039,12711.66097571319,12322.13139944081,13474.062393134629
104,12656.856697640109,13659.486252658164,12844.127485914472,12711.83685988537,12322.4065643842,13473.84490613525
105,12661.395390758802,13657.407677920326,12845.511176097983,12701.012550608837,12319.643958359986,13476.05667009109
106,12666.77577438657,13657.384184436709,12846.152852586278,12694.23184399727,12316.529049162675,13476.054019994828
107,12668.905221006027,13658.497742372547,12845.505882788239,12696.941949700262,12314.9313399131,13474.797968602823
108,12663.934311597837,13657.572688933347,12842.749453165861,12701.228065671927,12315.246152636395,13473.09644484116
109,12654.29503664177,13657.209470415477,12841.250481965308,12709.137464233501,12317.00046615556,13472.860265095416
110,12653.581058118054,13655.855199061707,12840.006833764663,12703.426111809029,12316.615891709294,13474.62870656188
111,12659.030741044478,13654.92102396139,12842.220241734709,12690.241660910624,12313.467451593306,13474.348395378329
112,12663.269786454255,13654.934619043317,12841.553389275123,12690.142065965973,12310.493161744747,13471.94647736405
113,12662.50877530682,13655.27572084591,12840.247385564257,12693.635479705174,12309.996693728155,13472.283578547827
114,12655.596439210643,13654.507586934018,12837.597971821042,12697.557720009336,12311.190129768445,13471.911984867316
115,12647.808223550091,13653.599100913338,12835.404010044362,12701.176672823469,12311.637627999999,13472.22908296157
116,12649.35381030548,13650.798756492672,12836.120473321616,12692.92609926474,12309.34227028148,13472.038695824192
117,12656.2086108252,13650.2789697787,12837.035696663492,12682.13047940305,12306.74077222298,13470.92348429222
118,12659.38037050493,13652.063272238827,12836.133541749825,12683.749221283559,12304.854715006188,13469.437611811105
119,12654.986369435623,13651.705717433182,12834.701502759834,12688.217592095603,12303.361176326842,13469.86134275312
120,12645.655243117226,13649.909529966451,12831.271735551576,12695.144638438678,12304.419888309058,13468.496108678764
121,12643.330885143834,13648.966254479908,12830.43875041826,12692.610008807173,12305.167965397839,13470.627978649602
