time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
176,26,76,59,85,79,46,47,61,47,98,61,22,8,0
177,37,58,39,60,73,69,28,96,45,59,88,19,42,21
178,18,28,51,51,71,45,77,8,6,33,44,82,60,33
179,17,29,74,89,19,54,57,73,84,24,77,15,68,10
180,5,76,58,75,84,31,36,63,26,12,66,16,46,20
181,20,64,57,80,100,30,45,29,3,63,52,6,0,31
182,38,5,60,70,75,51,66,94,23,52,35,0,0,11
183,20,65,43,69,74,60,6,61,8,29,0,51,4,53
184,3,38,80,96,111,29,0,82,51,33,0,2,4,32
185,19,49,47,86,66,31,28,47,55,14,57,0,112.927108,33
186,24,66,17,35,27,50,43,71,0,22,14,0,70,22
187,3,68,53,76,61,57,57,74,19,26,0,0,16,43
188,20,74,57,49,47,17,37,75,46,21,29,84,53,34
189,50,56,61,51,45,64,35,68,46,34,37,81,8,19
190,26,0,47,78,38,36,42,90,70,52,53,55,52,45
191,31,30,60,7,83,58,35,56,17,94,46,69,27,27
192,20,5,33,13,55,41,62,73,46,49,56,17,24,7
193,20,6,62,85,59,51,55,54,46,60,67,39,48,23
194,39,47,49,52,29,51,46,56,20,66,59,42,29,17
195,10,40,58,82,15,55,40,77,103,53,90,7,16,41
196,10,56,27,18,4,58,67,77,32,52,118.49866,74,0,45
197,2,19,0,61,42,73,43,81,21,24,73,77,0,38
198,0,25,27,81,44,92,26,81,0,32,21,62,16,49
199,0,14,4,76,84,50,0,53,1,42,38,33,4,31
200,0,25,1,79,29,36,0,69,42,36,69,25,24,50
201,0,58,47,96,37,62,0,62,81,23,82,27,34,47
202,0,44,50,62,73,57,45,45,3,5,63,0,24,15
203,15,49,57,40,71,59,52,73,26,32,33,0,24,39
204,3,26,40,55,48,39,65,56,81,23,57,40,5,45
205,0,4,13,97,57,45,36,50,38,29,55,73,64,38
206,0,14,68,75,57,62,51,95,72,83,66,71,60,36
207,9,5,14,56,66,45,40,82,99,2,73,43,51,5
208,28,14,52,72,74,47,53,69,16,38,31,26,57,10
209,49,53,55,70,100,18,4,74,29,4,18,58,40,18
210,28,43,69,60,87,51,25,72,46,58,46,47,44,7
211,12,63,74,86,36,38,69,70,57,74,47,43,74,30
212,2,49,24,65,23,46,37,69,106,50,62,72,16,45
213,4,35,52,57,18,56,53,55,85,34,32,87,0,51
214,12,39,60,63,1,32,51,79,113,49,81,51,0,51
215,35,40,36,68,8,20,34,62,45,59,75,66,0,39
216,0,42,43,100,16,29,43,49,65,45,102,43,16,55
217,0,65,40,12,49,49,39,34,36,31,75,75,27,41
218,0,27,49,80,84,58,71,13,46,78,78,8,49,19
219,7,35,64,99,60,57,67,65,78,80,60,44,15,19
220,29,37,5,92,10,46,11,81,56,45,70,81,71,65
221,10,20,2,71,59,53,0,92,33,56,70,50,33,25
222,5,0,13,87,101,56,0,69,93,4,74,44,33,52
223,58,0,53,68,59,58,5,89,82,3,0,18,43,10
224,3,2,27,81,75,36,72,53,33,25,0,0,28,10
225,38,27,0,94,64,10,51,83,35,26,0,14,1,17
226,34,33,0,70,80,59,62,44,92,34,17,8,14,18
227,27,44,12,70,47,58,55,86,36,42,30,33,0,6
228,26,45,54,52,76,34,59,87,72,48,8,14,3,21
229,9,12,56,62,48,78,33,74,64,69,23,28,10,0
230,0,51,52,91,7,41,43,100,102,81,27,1,18,3
231,4,44,6,79,48,60,54,73,49,16,45,14,18,48
232,37,47,48,55,118,41,50,31,32,17,69,9,50,56
233,4,40,52,3,72,46,39,78,82,56,79,31,36,36
234,0,41,54,0,84,72,34,66,47,13,47,0,40,33
235,8,0,57,62,80,49,37,43,4,0,10,1,54,26
236,21,0,63,56,86,39,31,83,112,0,77,0,25,52
237,16,7,17,86,58,67,53,96,39,37,87,0,22,48
238,33,41,41,87,37,8,57,61,108,0,67,0,37,58
239,18,30,65,52,46,34,81.40889421,90,101,14,85,0,58,32
240,5,40,46,82,76,54,49,35,38,34,64,0,41,49
241,28,41,15,80,79,37,78,27,88,59,18,0,5,8
242,9,55,25,66,97,45,58,31,57,68,59,0,0,46
243,48,52,14,83,46,20,46,0,55,44,82,3,35,8
244,35,28,60,78,27,24,59,0,78,59,64,7,33,2
245,40,21,70,65,12,61,81.40889421,15,68,73,22,0,37,0
246,13,26,62,114.3688469,8,51,49,0,17,45,13,1,18,0
247,24,52,43,23,21,60,45,15,24,64,2,0,0,10
248,0,45,31,108,50,61,45,36,16,56,5,7,52,0
249,26,61,48,60,82,28,48,34,5,50,82,0,44,0
250,24,32,52,57,83,49,39,0,76,78,75,0,34,13
251,6,23,55,35,53,48,59,29,19,51,35,3,12,4
252,38,4,67,110,38,42,54,37,23,33,48,0,0,49
253,42,38,69,74,39,52,76,78,36,26,72,0,2,0
254,38,25,44,36,21,41,38,51,58,2,77,0,14,4
255,41,39,71,52,76,58,43,61,54,12,92,0,0,2
256,62,50,43,88,107,43,0,76,71,27,9,2,0,0
257,17,53,64,42,85,55,41,66,41,13,31,35,0,0
258,29,0,18,1,46,42,34,58,6,20,58,0,28,0
259,26,43,32,83,29,51,0,28,81,31,90,0,10,0
260,49,49,57,74,63,56,0,23,54,85,48,0,5,8
261,45,42,38,102,104,48,0,76,78,84,49,0,19,2
262,25,52,11,47,53,52,42,79,62,57,63,0,12,4
263,28,76,36,22,56,37,61,89,60,31,87,0,32,0
264,15,42,63,75,43,64,55,40,43,59,53,0,2,0
265,36,62,55,85,51,40,45,55,91,90,34,0,0,2
266,59,36,58,96,24,57,59,72,71,51,15,0,0,0
267,54,32,54,58,44,60,81,56,44,59,15,0,10,28
268,36,46,52,37,33,67,81.40889421,65,41,51,0,0,0,2
269,48,45,64,83,13,56,46,59,28,48,67,0,0,0
270,41,38,57,54,77,66,56,77,40,49,30,0,7,0
271,36,33,44,75,92,70,47,66,50,67,30,18,10,0
272,30,12,58,113,69,21,60,81,40,69,61,21,20,0
273,30,38,46,92,47,53,57,66,91,71,22,0,2,0
274,38,44,63,113,105,36,11,56,56,28,74,0,14,0
275,37,23,51,85,80,21,18,79,88,42,73,0,12,0
276,14,32,47,36,88,40,0,64,130,42,46,0,0,0
277,45,79.54686296,37,15,56,42,37,57,46,67,89,0,0,0
278,21,60,31,0,77,51,28,43,29,52,83,0,0,0
279,0,51,27,13,75,54,51,59,24,53,93,0,23,0
280,4,79.54686296,48,17,12,43,59,59,65,87,79,0,34,8
281,3,41,52,24,89,48,55,6,58,85,66,0,0,0
282,21,36,23,54,10,55,59,37,89,45,71,0,43,0
283,35,47,19,60,24,44,13,24,98,89,50,0,53,0
284,42,47,67,49,68,62,10,68,80,70,0,0,35,0
285,52,38,60,91,83,48,50,43,51,13,15,0,70,6
286,57,40,70,55,43,43,48,75,119,69,75,34,5,0
287,46,23,65,72,106,40,34,66,60,87,26,1,23,0
288,31,0,58,64,96,35,26,33,81,39,36,19,35,0
289,43,51,64,74,32,37,66,56,36,73,23,24,20,0
290,47,44,21,70,52,50,31,50,83,90,0,38,32,0
291,11,28,24,66,76,41,51,95,76,7,0,28,39,0
292,13,12,67,97,37,53,54,53,55,21,15,0,73,7
293,51,0,72,58,33,43,30,79,96,54,0,55,37,16
294,37,0,78,53,51,52,31,61,137.5826596,44,2,32,47,0
295,23,34,48,73,40,50,52,85,53,6,27,0,73,44
296,71,44,54,92,1,56,51,66,21,26,81,8,79,25
297,40,48,51,101,8,52,56,21,63,100,53,59,27,17
298,54,40,43,31,16,57,30,24,83,68,67,93,55,20
299,30,40,38,85,0,55,51,34,137.5826596,59,19,86,35,1
300,0,55,68,48,0,59,59,68,44,56,12,26,33,5
301,2,53,81,98,28,53,37,63,44,31,43,4,52,1
302,13,12,29,82,51,48,54,69,0,27,88,18,75,34
303,28,11,31,67,9,54,47,41,0,7,80,35,46,25
304,24,65,4,91,59,77,21,65,34,51,71,75,34,0
305,28,46,7,82,112,41,0,76,0,42,68,78,35,0
306,49,35,60,55,71,65,38,32,18,38,118,56,54,0
307,16,40,35,28,52,25,24,51,13,20,47,101,5,0
308,35,21,68,37,116,36,69,36,21,43,36,52,54,0
309,35,45,16,73,109,51,38,74,109,14,84,25,58,29
310,42,44,0,91,62,41,42,95,86,64,24,17,30,28
311,13,71,43,85,35,92.80794454,55,53,91,35,32,43,4,72
312,0,48,30,68,109,53,46,58,68,79,29,3,35,34
313,18,32,64,103,52,68,0,67,38,70,0,14,51,8
314,4,41,34,79,39,81,0,67,0,62,15,53,4,21
315,3,31,66,78,47,35,0,43,0,51,0,41,19,70
316,53,47,1,64,27,45,43,69,0,36,20,87,18,79
317,32,31,5,47,35,46,57,63,54,15,0,74,18,30
318,49,32,37,71,113,60,52,76,110,29,0,12,5,38
319,10,56,85,89,100,62,44,67,10,41,0,36,34,51
320,8,41,56,16,78,35,70,70,0,63,37,69,40,19
321,56,52,79,0,104,62,44,43,23,0,0,61,28,30
322,70,51,56,44,88,52,69,65,52,55,0,80,27,40
323,34,48,50,62,71,62,73,15,68,47,0,27,32,4
324,37,27,65,78,25,66,53,34,110,84,2,5,19,29
325,60,41,35,96,46,43,42,66,54,23,20,19,47,8
326,42,42,48,89,70,45,38,73,68,64,8,11,29,23
327,8,33,45,86,26,31,77,70,72,44,0,17,47,32
328,4,67,59,92,63,69,64,71,73,78,20,24,42,34
329,39,64,78,80,54,58,30,47,94,78,0,55,25,3
330,46,52,50,24,66,43,49,54,99,106,0,6,55,9
331,10,16,52,79,56,70,54,50,47,65,0,28,27,43
332,57,39,38,29,74,35,48,51,56,11,0,49,18,23
333,76,33,12,50,50,36,53,19,24,28,0,49,77,32
334,16,34,60,89,64,57,6,0,20,58,0,7,73,39
335,59,76,55,76,33,57,0,4,8,64,0,0,50,27
336,27,7,70,84,85,70,0,6,63,36,0,17,67,37
337,53,30,55,88,42,50,27,0,22,39,0,5,79,20
338,23,32,46,65,70,35,50,50,63,26,0,15,31,41
339,43,74,68,75,99,60,62,51,68,30,0,0,54,30
340,42,38,51,82,122.6049868,18,50,81,19,0,0,20,62,0
341,53,33,72,71,70,28,51,43,107,0,0,0,18,50
342,31,35,67,97,48,77,75,56,34,0,0,0,23,13
343,34,49,75,88,64,43,51,64,46,0,16,0,24,60
344,33,43,66,99,50,40,21,64,92,12,0,0,47,101
345,34,50,33,57,105,58,69,80,70,42,0,0,42,68
346,12,41,16,67,88,30,51,49,51,95,25,0,5,37
347,1,1,21,77,59,53,47,82,34,53,59,0,38,14
348,0,3,43,80,72,73,71,58,0,62,71,0,51,2
349,21,14,4,85,50,56,14,86,0,34,56,0,3,35
350,13,31,36,92,90,57,13,76,10,47,66,0,11,23
351,30,40,31,57,88,39,57,41,26,43,95,0,46,39
352,18,36,0,64,109,67,58,83,47,28,63,0,50,9
353,28,24,7,84,77,53,48,28,0,77,22,0,18,29
354,5,44,43,74,59,35,19,18,0,57,35,0,32,24
355,21,33,31,113,80,60,38,33,32,33,53,0,39,11
356,36,21,47,82,103,54,44,1,87,57,37,0,33,12
357,12,41,63,100,74,45,48,6,13,64,56,0,29,26
358,39,9,62,62,45,43,47,61,101,40,94,0,18,2
359,31,41,56,113,106,49,23,79,92,52,66,0,53,30
360,34,16,52,76,58,66,47,70,106,17,56,0,50,40
361,28,42,44,94,95,66,0,71,93,89,58,0,32,38
362,30,61,47,85,70,62,0,74,55,30,90,0,11,36
363,34,65,23,31,102,64,0,79,56,46,21,0,15,61
364,43,57,37,10,76,34,3,77,37,16,16,0,88,65
365,10,50,45,0,91,46,57,86,107,52,49,0,60,40
366,37,31,58,15,90,32,36,93,112,15,17,0,0,56
367,21,35,51,13,52,53,27,47,61,24,68,7,0,3
368,5,49,59,18,23,61,51,64,30,10,94,20,37,64
369,0,50,40,55,27,49,57,74,56,0,43,0,25,38
370,0,17,53,65,18,59,63,63,46,7,26,0,22,67
371,44,43,50,108,95,50,42,63,33,12,87,0,53,43
372,35,41,68,75,70,73,81.40889421,66,75,0,78,14,31,27
373,49,39,29,49,44,67,27,71,50,0,50,15,37,29
374,49,3,54,58,85,81,47,52,57,0,30,58,64,9
375,28,54,63,94,107,70,68,73,44,0,99,23,63,20
376,22,26,57,94,121,46,45,74,35,10,67,39,75,15
377,19,21,37,11,88,57,57,72,19,11,70,24,31,5
378,3,51,41,4,92,53,53,97,20,0,108,39,49,24
379,12,17,9,91,109,2,51,61,21,0,84,82,50,27
380,8,41,21,68,97,12,46,46,42,0,87,29,83,35
381,11,44,78,24,31,57,0,69,97,0,67,69,87,51
382,63,33,49,50,41,52,0,22,81,0,2,0,37,26
383,3,38,75,102,99,57,51,37,106,0,0,0,32,26
384,33,46,39,82,84,52,68,35,39,5,1,0,39,12
385,56,56,29,37,104,53,34,9,24,13,13,0,42,51
386,45,48,0,50,76,34,47,46,40,20,43,0,33,65
387,52,68,43,67,80,50,50,42,35,8,81,0,15,73
388,44,54,35,101,122.6049868,47,18,72,31,13,68,8,41,43
389,44,41,63,80,68,51,61,72,76,9,83,9,26,34
390,24,14,52,90,16,12,63,71,33,0,74,0,1,75
391,36,0,60,97,69,51,37,46,9,0,61,0,0,73
392,7,4,35,72,100,55,65,49,11,0,9,0,23,50
393,35,5,27,82,90,73,30,63,6,0,62,10,10,57
394,17,27,57,84,97,74,36,66,16,0,105,2,22,29
395,48,63,46,67,87,49,50,71,57,0,33,0,45,47
396,42,49,69,56,68,46,45,45,33,0,87,0,32,29
397,43,6,62,24,88,41,54,42,136,0,61,0,45,22
