time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
10784,210.69179349784184,89.94521519379259,1272.028704519425,918.3590722265379,1982.2074865047543,1771.7869469617774,781.432714549911,1860.0119043693664,179.51704487419076,1165.0212087571235,321.476193683006,1211.9149793070642,877.6813050731524,459.167329559932
10785,214.27104804178626,90.02691381180875,1273.6480467777112,919.9379389048208,1991.7228430148264,1771.6909744387258,780.7947833229598,1826.4640939632695,172.92364532223644,1154.4611722100508,314.0769858023857,1200.2022899853096,869.829776345704,450.5444711693642
10786,217.843624733542,90.08970009310168,1275.1983087017036,921.6311274097413,2001.1364664937503,1771.389294445718,780.1431536409453,1793.5048379993796,166.47105636887392,1143.8252562177772,306.86042725504575,1188.4972558689424,861.8591232240481,442.07791432080086
10787,221.40798475418524,90.13367945923717,1276.678047186852,923.4394323544959,2010.45061523828,1770.8756412022365,779.477514654388,1761.1398876424164,160.1587133324492,1133.118535303296,299.8289356974924,1176.803838847653,853.7743323231612,433.7669311255798
10788,224.96258256539062,90.15896905599878,1278.085803924738,925.3636206348043,2019.667712584764,1770.1438210050578,778.7975503930802,1729.374500406138,153.98603633613823,1122.3461043454095,292.9846373520496,1165.1259578971383,845.5804434641168,425.61071670706576
10789,228.50586684600418,90.16569616597016,1279.4201064152746,927.4044324362101,2028.7903407877102,1769.187723631728,778.1029405497625,1698.2134535894072,147.95242689334313,1111.5130731828767,286.32937383807297,1153.4674867643892,837.2825448258008,417.60839491652973
10790,232.0362814442561,90.15399668633223,1280.6794690224197,929.5625822098174,2037.8212346123335,1768.0013338926994,777.3933612507226,1667.6610580207825,142.05726476570575,1100.6245612319783,279.86470947831856,1141.8322516628873,828.8857680556538,409.98278417092894
10791,235.55226634488358,90.63023777517789,1281.86239407274,931.838759614881,2046.7632746551524,1766.5787433072308,776.6684858127279,1637.7211720598568,136.2999051152651,1089.6856921247152,273.5919390886523,1130.224028983069,820.39528334607,404.3233946313043
10792,239.05225865041604,91.13673209443304,1282.9673729961678,934.2336304268896,2055.6194804072443,1764.9141618771835,775.9279854857341,1608.397215803763,131.26733778750003,1078.7015883748475,267.51209625716234,1118.6465430234896,811.816294483174,398.82082523839574
10793,242.53469357585172,91.61417979000427,1283.992887508167,936.7478374098573,2064.39300307522,1763.001929931945,775.1715301808713,1579.692185447636,126.74908082383311,1067.6773660789102,261.6259621162193,1107.1034637480884,803.1540338746868,393.47350797391266
10794,245.9980054559363,92.06248148761607,1284.9374108324866,939.3820011517471,2073.087118175345,1760.836530016832,774.3987891832252,1551.6086677484043,123.93026548527115,1056.6181296592138,255.93407460817107,1095.5984045749142,794.4137575636553,388.2798278846279
10795,249.44062876423598,92.48157026310298,1285.799408963592,942.1367208620184,2081.70521791669,1758.412598796555,773.6094318489771,1524.1488545419547,121.66936437540528,1045.5289666557956,250.43673824214187,1084.1349202016452,785.600740234812,383.2381276856676
10796,252.86099914317387,92.871410902078,1286.5773419678176,945.0125751304827,2090.250803389468,1755.7249389446256,772.8031282865094,1497.3145572646117,119.42531001689163,1034.4149425741673,245.13403433590616,1072.7165044731353,776.7202702203342,378.34671233356926
10797,256.25755444418195,93.23199914678783,1287.269665322173,948.0101226467153,2102.255646855476,1752.7685309888896,771.9795500211002,1471.1072214309015,117.1988730732343,1023.2810957955475,240.02583173299882,1061.3465882961402,767.7776445117745,373.60385356035835
10798,259.62873577710155,93.56336093248281,1287.8748312897117,951.1299028794327,2117.1208567168987,1749.5385450828985,771.1383706428823,1445.5279410207386,114.99093739755591,1012.1324325562093,235.11179798119718,1050.0285376062914,758.7781637848822,369.00779436000886
10799,262.9729885679442,93.86555161549246,1288.3912903302694,954.3724367153123,2131.8021678198684,1746.0303526722473,770.2792664377665,1420.5774727305113,112.80249293100778,1000.9739220023735,230.39141095425154,1038.7656513921995,749.7271274440387,364.55675341871995
10800,266.2887636241095,94.13865519506687,1288.81749254531,957.7382270568519,2146.2996969908386,1742.2395380247285,769.4019170010483,1396.2562500440265,111.446607455322,989.8104913269572,225.86397089433459,1027.5611597814898,740.6298286929473,360.24892948057476
10801,269.57451820613227,94.38278353090301,1289.1518891555747,961.2277593789579,2160.613753612463,1738.161909592767,768.5060058334694,1372.564397080833,111.49947639354703,978.6470209943277,221.5286128481197,1016.4182221933494,731.4915496381789,356.0825056402619
10802,272.82871710502343,94.59807555813457,1289.3929340101095,964.8415022440026,2174.7448325432833,1733.7935111764507,767.5912209195092,1349.5017421812397,111.55022454665249,967.4883400590271,217.3843194647835,1005.3399255620454,722.3175564321,352.0556535547102
10803,276.04983372423663,94.78469650142874,1289.5390851252491,968.5799077752001,2188.693606816212,1729.1306328553594,766.6572552877268,1327.0678311891693,111.59926826452612,956.3392215842707,213.42993411954947,994.3292826356176,713.1130944616269,348.16653756562226
10804,279.2363511652923,94.9428370896877,1289.5888062519844,972.4434120881812,2202.460920139247,1724.1698216574023,765.7038075529888,1305.2619403959502,111.6471224245087,945.2043781658293,209.66417432172972,983.3892303537942,703.8833835891467,344.4133187250917
10805,282.3867633160606,95.07271277272142,1289.5405684701382,976.4324356807298,2216.047779221875,1718.9078919329538,764.7305824404375,1284.0830891102635,111.69439478842857,934.0884575667036,206.08564536162265,972.5226283089229,694.63361345187,340.7941587166808
10806,285.4995759406954,95.17456294111453,1289.392851807694,980.5473837806529,2229.4553459506765,1713.3419354028395,763.7372912910903,1263.530051821619,111.74178044297113,922.9960384677943,202.69285414611903,961.7322572935035,685.3689388257221,337.30722366454
10807,288.5733077701962,95.24865015038081,1289.144146883521,984.7886466518312,2242.6849294374806,1707.4693308489907,762.7236525489707,1243.6013699270086,111.79005633433103,911.931626339579,199.48422316852643,951.0208179376191,676.0944750597906,333.9506878233836
10808,291.6064915925535,95.2952593503623,1288.792956571726,989.1565998584846,2255.73797796332,1701.2877534170732,761.6893922296894,1224.2953629927606,111.84007590700071,900.8996494395569,196.4581045539679,940.3909294393709,666.8152935871956,330.7227371423758
